sighting_id,occurrence_id,park_id,species_id,scientific_name,common_name,event_date,year,month,season,time_of_day,decimal_latitude,decimal_longitude,coordinate_uncertainty,basis_of_record,location_filter_method,source,license,data_quality_flag
GBIF-6251562586_park_yell,GBIF-6251562586,park_yell,species_grizzly_bear,"Ursus arctos horribilis Ord, 1815",Grizzly Bear,2026-04-10,2026.0,4.0,spring,early_morning,44.829971,-110.592773,27253.0,HUMAN_OBSERVATION,bounding_box,GBIF Occurrence API,http://creativecommons.org/licenses/by-nc/4.0/legalcode,coordinate_uncertain
GBIF-6273150988_park_yell,GBIF-6273150988,park_yell,species_grizzly_bear,"Ursus arctos Linnaeus, 1758",Grizzly Bear,2026-05-06,2026.0,5.0,spring,afternoon,44.609744,-110.554632,27285.0,HUMAN_OBSERVATION,bounding_box,GBIF Occurrence API,http://creativecommons.org/licenses/by-nc/4.0/legalcode,coordinate_uncertain
GBIF-6273560384_park_yell,GBIF-6273560384,park_yell,species_grizzly_bear,"Ursus arctos Linnaeus, 1758",Grizzly Bear,2026-05-05,2026.0,5.0,spring,morning,44.830577,-110.610097,27253.0,HUMAN_OBSERVATION,bounding_box,GBIF Occurrence API,http://creativecommons.org/licenses/by-nc/4.0/legalcode,coordinate_uncertain
GBIF-6273574704_park_yell,GBIF-6273574704,park_yell,species_grizzly_bear,"Ursus arctos Linnaeus, 1758",Grizzly Bear,2026-05-06,2026.0,5.0,spring,afternoon,44.664768,-110.555878,27285.0,HUMAN_OBSERVATION,bounding_box,GBIF Occurrence API,http://creativecommons.org/licenses/by-nc/4.0/legalcode,coordinate_uncertain
GBIF-6273589133_park_yell,GBIF-6273589133,park_yell,species_grizzly_bear,"Ursus arctos Linnaeus, 1758",Grizzly Bear,2026-05-08,2026.0,5.0,spring,afternoon,44.667862,-110.642722,27285.0,HUMAN_OBSERVATION,bounding_box,GBIF Occurrence API,http://creativecommons.org/licenses/by-nc/4.0/legalcode,coordinate_uncertain
GBIF-6273899407_park_yell,GBIF-6273899407,park_yell,species_grizzly_bear,"Ursus arctos horribilis Ord, 1815",Grizzly Bear,2026-05-07,2026.0,5.0,spring,afternoon,44.896954,-110.345006,27253.0,HUMAN_OBSERVATION,bounding_box,GBIF Occurrence API,http://creativecommons.org/licenses/by-nc/4.0/legalcode,coordinate_uncertain
GBIF-6274017961_park_yell,GBIF-6274017961,park_yell,species_grizzly_bear,"Ursus arctos Linnaeus, 1758",Grizzly Bear,2026-05-06,2026.0,5.0,spring,afternoon,44.417975,-110.347749,27317.0,HUMAN_OBSERVATION,bounding_box,GBIF Occurrence API,http://creativecommons.org/licenses/by-nc/4.0/legalcode,coordinate_uncertain
GBIF-6274037833_park_yell,GBIF-6274037833,park_yell,species_grizzly_bear,"Ursus arctos Linnaeus, 1758",Grizzly Bear,2026-05-07,2026.0,5.0,spring,afternoon,44.897334,-110.219625,27253.0,HUMAN_OBSERVATION,bounding_box,GBIF Occurrence API,http://creativecommons.org/licenses/by-nc/4.0/legalcode,coordinate_uncertain
GBIF-6274103103_park_yell,GBIF-6274103103,park_yell,species_grizzly_bear,"Ursus arctos horribilis Ord, 1815",Grizzly Bear,2026-05-07,2026.0,5.0,spring,evening,44.746449,-110.747542,27285.0,HUMAN_OBSERVATION,bounding_box,GBIF Occurrence API,http://creativecommons.org/licenses/by-nc/4.0/legalcode,coordinate_uncertain
GBIF-6274164766_park_yell,GBIF-6274164766,park_yell,species_grizzly_bear,"Ursus arctos Linnaeus, 1758",Grizzly Bear,2026-05-06,2026.0,5.0,spring,morning,44.674772,-110.469658,27285.0,HUMAN_OBSERVATION,bounding_box,GBIF Occurrence API,http://creativecommons.org/licenses/by-nc/4.0/legalcode,coordinate_uncertain
GBIF-6274171061_park_yell,GBIF-6274171061,park_yell,species_grizzly_bear,"Ursus arctos Linnaeus, 1758",Grizzly Bear,2026-05-08,2026.0,5.0,spring,afternoon,44.786483,-110.585286,27285.0,HUMAN_OBSERVATION,bounding_box,GBIF Occurrence API,http://creativecommons.org/licenses/by-nc/4.0/legalcode,coordinate_uncertain
GBIF-6320479068_park_yell,GBIF-6320479068,park_yell,species_grizzly_bear,"Ursus arctos horribilis Ord, 1815",Grizzly Bear,2026-05-15,2026.0,5.0,spring,afternoon,44.884198,-110.081116,27253.0,HUMAN_OBSERVATION,bounding_box,GBIF Occurrence API,http://creativecommons.org/licenses/by-nc/4.0/legalcode,coordinate_uncertain
GBIF-6320615538_park_yell,GBIF-6320615538,park_yell,species_grizzly_bear,"Ursus arctos horribilis Ord, 1815",Grizzly Bear,2026-05-05,2026.0,5.0,spring,afternoon,44.712674,-110.734841,27285.0,HUMAN_OBSERVATION,bounding_box,GBIF Occurrence API,http://creativecommons.org/licenses/by-nc/4.0/legalcode,coordinate_uncertain
