park_name,common_name,sighting_count
Grand Teton National Park,Elk,81
Yellowstone National Park,Gray Wolf,75
Yellowstone National Park,Coyote,63
Yellowstone National Park,Mountain Goat,61
Yellowstone National Park,Moose,61
Grand Teton National Park,Coyote,60
Yellowstone National Park,Grizzly Bear,58
Yellowstone National Park,Bighorn Sheep,56
Olympic National Park,Bald Eagle,54
Glacier National Park,Grizzly Bear,52
Mount Rainier National Park,Mountain Goat,52
Yellowstone National Park,Elk,51
Yellowstone National Park,Bald Eagle,51
Mount Rainier National Park,Black Bear,51
Yellowstone National Park,Black Bear,47
Yellowstone National Park,Bison,47
Mount Rainier National Park,Elk,47
Grand Teton National Park,Grizzly Bear,47
Grand Teton National Park,Bighorn Sheep,45
Olympic National Park,Elk,45
Glacier National Park,Black Bear,40
Olympic National Park,Mountain Goat,39
Glacier National Park,Mountain Goat,37
Glacier National Park,Moose,35
Olympic National Park,Black Bear,34
Glacier National Park,Bighorn Sheep,33
Grand Teton National Park,Black Bear,31
Grand Teton National Park,Bison,30
Grand Teton National Park,Bald Eagle,30
Grand Teton National Park,Moose,28
Glacier National Park,Elk,28
Glacier National Park,Gray Wolf,23
Olympic National Park,Coyote,15
Grand Teton National Park,Gray Wolf,12
Glacier National Park,Coyote,9
Glacier National Park,Bald Eagle,8
Mount Rainier National Park,Bald Eagle,7
Glacier National Park,Bison,6
Mount Rainier National Park,Coyote,3
Grand Teton National Park,Mountain Goat,3
