visit_id,park_id,park_name,year,month,recreation_visits,crowd_level,source
park_glac_2025_01,park_glac,Glacier NP,2025,1,17984,low,NPS Visitor Use Statistics IRMA REST API
park_glac_2025_02,park_glac,Glacier NP,2025,2,15202,low,NPS Visitor Use Statistics IRMA REST API
park_glac_2025_03,park_glac,Glacier NP,2025,3,25909,low,NPS Visitor Use Statistics IRMA REST API
park_glac_2025_04,park_glac,Glacier NP,2025,4,48576,medium,NPS Visitor Use Statistics IRMA REST API
park_glac_2025_05,park_glac,Glacier NP,2025,5,238766,medium,NPS Visitor Use Statistics IRMA REST API
park_glac_2025_06,park_glac,Glacier NP,2025,6,576577,high,NPS Visitor Use Statistics IRMA REST API
park_glac_2025_07,park_glac,Glacier NP,2025,7,765061,high,NPS Visitor Use Statistics IRMA REST API
park_glac_2025_08,park_glac,Glacier NP,2025,8,718766,high,NPS Visitor Use Statistics IRMA REST API
park_glac_2025_09,park_glac,Glacier NP,2025,9,552479,high,NPS Visitor Use Statistics IRMA REST API
park_glac_2025_10,park_glac,Glacier NP,2025,10,127537,medium,NPS Visitor Use Statistics IRMA REST API
park_glac_2025_11,park_glac,Glacier NP,2025,11,27967,medium,NPS Visitor Use Statistics IRMA REST API
park_glac_2025_12,park_glac,Glacier NP,2025,12,21733,low,NPS Visitor Use Statistics IRMA REST API
park_grte_2025_01,park_grte,Grand Teton NP,2025,1,50745,low,NPS Visitor Use Statistics IRMA REST API
park_grte_2025_02,park_grte,Grand Teton NP,2025,2,53580,low,NPS Visitor Use Statistics IRMA REST API
park_grte_2025_03,park_grte,Grand Teton NP,2025,3,64716,medium,NPS Visitor Use Statistics IRMA REST API
park_grte_2025_04,park_grte,Grand Teton NP,2025,4,77629,medium,NPS Visitor Use Statistics IRMA REST API
park_grte_2025_05,park_grte,Grand Teton NP,2025,5,341521,medium,NPS Visitor Use Statistics IRMA REST API
park_grte_2025_06,park_grte,Grand Teton NP,2025,6,680406,high,NPS Visitor Use Statistics IRMA REST API
park_grte_2025_07,park_grte,Grand Teton NP,2025,7,787186,high,NPS Visitor Use Statistics IRMA REST API
park_grte_2025_08,park_grte,Grand Teton NP,2025,8,735593,high,NPS Visitor Use Statistics IRMA REST API
park_grte_2025_09,park_grte,Grand Teton NP,2025,9,617970,high,NPS Visitor Use Statistics IRMA REST API
park_grte_2025_10,park_grte,Grand Teton NP,2025,10,281020,medium,NPS Visitor Use Statistics IRMA REST API
park_grte_2025_11,park_grte,Grand Teton NP,2025,11,56377,low,NPS Visitor Use Statistics IRMA REST API
