sighting_id,park_id,park_name,state,species_id,common_name,scientific_name,category,event_date,year,month,season,time_of_day,decimal_latitude,decimal_longitude,coordinate_uncertainty,temperature_max,temperature_min,temperature_avg,precipitation,snowfall,wind_speed,recreation_visits,crowd_level,basis_of_record,location_filter_method,data_quality_flag,source,weather_joined,visitation_joined,search_result_count,official_source_count,area_context_count,season_context_count,time_context_count,avg_serp_confidence_score,top_mentioned_area,top_mentioned_season,top_mentioned_time_of_day,has_official_context,has_recent_context
GBIF-6251562586_park_yell,park_yell,Yellowstone National Park,WY/MT/ID,species_grizzly_bear,Grizzly Bear,"Ursus arctos horribilis Ord, 1815",Mammal,2026-04-10,2026.0,4.0,spring,early_morning,44.829971,-110.592773,27253.0,,,,,,,,,HUMAN_OBSERVATION,bounding_box,coordinate_uncertain,GBIF Occurrence API,False,False,0,0,0,0,0,0.0,unknown,unknown,unknown,False,False
GBIF-6273150988_park_yell,park_yell,Yellowstone National Park,WY/MT/ID,species_grizzly_bear,Grizzly Bear,"Ursus arctos Linnaeus, 1758",Mammal,2026-05-06,2026.0,5.0,spring,afternoon,44.609744,-110.554632,27285.0,,,,,,,,,HUMAN_OBSERVATION,bounding_box,coordinate_uncertain,GBIF Occurrence API,False,False,0,0,0,0,0,0.0,unknown,unknown,unknown,False,False
GBIF-6273560384_park_yell,park_yell,Yellowstone National Park,WY/MT/ID,species_grizzly_bear,Grizzly Bear,"Ursus arctos Linnaeus, 1758",Mammal,2026-05-05,2026.0,5.0,spring,morning,44.830577,-110.610097,27253.0,,,,,,,,,HUMAN_OBSERVATION,bounding_box,coordinate_uncertain,GBIF Occurrence API,False,False,0,0,0,0,0,0.0,unknown,unknown,unknown,False,False
GBIF-6273574704_park_yell,park_yell,Yellowstone National Park,WY/MT/ID,species_grizzly_bear,Grizzly Bear,"Ursus arctos Linnaeus, 1758",Mammal,2026-05-06,2026.0,5.0,spring,afternoon,44.664768,-110.555878,27285.0,,,,,,,,,HUMAN_OBSERVATION,bounding_box,coordinate_uncertain,GBIF Occurrence API,False,False,0,0,0,0,0,0.0,unknown,unknown,unknown,False,False
GBIF-6273589133_park_yell,park_yell,Yellowstone National Park,WY/MT/ID,species_grizzly_bear,Grizzly Bear,"Ursus arctos Linnaeus, 1758",Mammal,2026-05-08,2026.0,5.0,spring,afternoon,44.667862,-110.642722,27285.0,,,,,,,,,HUMAN_OBSERVATION,bounding_box,coordinate_uncertain,GBIF Occurrence API,False,False,0,0,0,0,0,0.0,unknown,unknown,unknown,False,False
GBIF-6273899407_park_yell,park_yell,Yellowstone National Park,WY/MT/ID,species_grizzly_bear,Grizzly Bear,"Ursus arctos horribilis Ord, 1815",Mammal,2026-05-07,2026.0,5.0,spring,afternoon,44.896954,-110.345006,27253.0,,,,,,,,,HUMAN_OBSERVATION,bounding_box,coordinate_uncertain,GBIF Occurrence API,False,False,0,0,0,0,0,0.0,unknown,unknown,unknown,False,False
GBIF-6274017961_park_yell,park_yell,Yellowstone National Park,WY/MT/ID,species_grizzly_bear,Grizzly Bear,"Ursus arctos Linnaeus, 1758",Mammal,2026-05-06,2026.0,5.0,spring,afternoon,44.417975,-110.347749,27317.0,,,,,,,,,HUMAN_OBSERVATION,bounding_box,coordinate_uncertain,GBIF Occurrence API,False,False,0,0,0,0,0,0.0,unknown,unknown,unknown,False,False
GBIF-6274037833_park_yell,park_yell,Yellowstone National Park,WY/MT/ID,species_grizzly_bear,Grizzly Bear,"Ursus arctos Linnaeus, 1758",Mammal,2026-05-07,2026.0,5.0,spring,afternoon,44.897334,-110.219625,27253.0,,,,,,,,,HUMAN_OBSERVATION,bounding_box,coordinate_uncertain,GBIF Occurrence API,False,False,0,0,0,0,0,0.0,unknown,unknown,unknown,False,False
GBIF-6274103103_park_yell,park_yell,Yellowstone National Park,WY/MT/ID,species_grizzly_bear,Grizzly Bear,"Ursus arctos horribilis Ord, 1815",Mammal,2026-05-07,2026.0,5.0,spring,evening,44.746449,-110.747542,27285.0,,,,,,,,,HUMAN_OBSERVATION,bounding_box,coordinate_uncertain,GBIF Occurrence API,False,False,0,0,0,0,0,0.0,unknown,unknown,unknown,False,False
GBIF-6274164766_park_yell,park_yell,Yellowstone National Park,WY/MT/ID,species_grizzly_bear,Grizzly Bear,"Ursus arctos Linnaeus, 1758",Mammal,2026-05-06,2026.0,5.0,spring,morning,44.674772,-110.469658,27285.0,,,,,,,,,HUMAN_OBSERVATION,bounding_box,coordinate_uncertain,GBIF Occurrence API,False,False,0,0,0,0,0,0.0,unknown,unknown,unknown,False,False
