park_name,park_code,category,common_name,scientific_name,occurrence_status,abundance,nativeness,record_status,source,source_url,date_accessed,license_usage_note
Yellowstone National Park,YELL,Mammal,"antelope, pronghorn",Antilocapra americana,Present,Common,Native,Approved,NPSpecies IRMA REST API,"https://irmaservices.nps.gov/NPSpecies/v3/rest/detaillist/YELL/mammals,birds",2026-05-28,U.S. federal public information; verify current NPS terms before redistribution.
Yellowstone National Park,YELL,Mammal,"bison, buffalo",Bison bison,Present,Abundant,Native,Approved,NPSpecies IRMA REST API,"https://irmaservices.nps.gov/NPSpecies/v3/rest/detaillist/YELL/mammals,birds",2026-05-28,U.S. federal public information; verify current NPS terms before redistribution.
Yellowstone National Park,YELL,Mammal,"Mountain Goat, Rocky Mountain goat",Oreamnos americanus,Present,Uncommon,Non-native,Approved,NPSpecies IRMA REST API,"https://irmaservices.nps.gov/NPSpecies/v3/rest/detaillist/YELL/mammals,birds",2026-05-28,U.S. federal public information; verify current NPS terms before redistribution.
Yellowstone National Park,YELL,Mammal,Bighorn Sheep,Ovis canadensis,Present,Uncommon,Native,Approved,NPSpecies IRMA REST API,"https://irmaservices.nps.gov/NPSpecies/v3/rest/detaillist/YELL/mammals,birds",2026-05-28,U.S. federal public information; verify current NPS terms before redistribution.
Yellowstone National Park,YELL,Mammal,"Eurasian Elk, Moose",Alces alces,Present,Uncommon,Unknown,Approved,NPSpecies IRMA REST API,"https://irmaservices.nps.gov/NPSpecies/v3/rest/detaillist/YELL/mammals,birds",2026-05-28,U.S. federal public information; verify current NPS terms before redistribution.
Yellowstone National Park,YELL,Mammal,Yellowstone moose,Alces alces shirasi,Present,Uncommon,Native,Approved,NPSpecies IRMA REST API,"https://irmaservices.nps.gov/NPSpecies/v3/rest/detaillist/YELL/mammals,birds",2026-05-28,U.S. federal public information; verify current NPS terms before redistribution.
Yellowstone National Park,YELL,Mammal,Rocky Mountain Elk,Cervus elaphus,Present,Abundant,Native,Approved,NPSpecies IRMA REST API,"https://irmaservices.nps.gov/NPSpecies/v3/rest/detaillist/YELL/mammals,birds",2026-05-28,U.S. federal public information; verify current NPS terms before redistribution.
Yellowstone National Park,YELL,Mammal,Mule Deer,Odocoileus hemionus,Present,Abundant,Native,Approved,NPSpecies IRMA REST API,"https://irmaservices.nps.gov/NPSpecies/v3/rest/detaillist/YELL/mammals,birds",2026-05-28,U.S. federal public information; verify current NPS terms before redistribution.
Yellowstone National Park,YELL,Mammal,White-tailed Deer,Odocoileus virginianus,Present,Uncommon,Unknown,Approved,NPSpecies IRMA REST API,"https://irmaservices.nps.gov/NPSpecies/v3/rest/detaillist/YELL/mammals,birds",2026-05-28,U.S. federal public information; verify current NPS terms before redistribution.
Yellowstone National Park,YELL,Mammal,Coyote,Canis latrans,Present,Abundant,Native,Approved,NPSpecies IRMA REST API,"https://irmaservices.nps.gov/NPSpecies/v3/rest/detaillist/YELL/mammals,birds",2026-05-28,U.S. federal public information; verify current NPS terms before redistribution.
Yellowstone National Park,YELL,Mammal,"Gray Wolf, Wolf",Canis lupus,Present,Common,Native,Approved,NPSpecies IRMA REST API,"https://irmaservices.nps.gov/NPSpecies/v3/rest/detaillist/YELL/mammals,birds",2026-05-28,U.S. federal public information; verify current NPS terms before redistribution.
