park_name,park_code,year,month,recreation_visits,source,source_url,date_accessed,license_usage_note
Glacier NP,GLAC,2025,1,17984,NPS Visitor Use Statistics IRMA REST API,https://irmaservices.nps.gov/Stats/v1/visitation,2026-05-28,U.S. federal public information; verify current NPS terms before redistribution.
Glacier NP,GLAC,2025,2,15202,NPS Visitor Use Statistics IRMA REST API,https://irmaservices.nps.gov/Stats/v1/visitation,2026-05-28,U.S. federal public information; verify current NPS terms before redistribution.
Glacier NP,GLAC,2025,3,25909,NPS Visitor Use Statistics IRMA REST API,https://irmaservices.nps.gov/Stats/v1/visitation,2026-05-28,U.S. federal public information; verify current NPS terms before redistribution.
Glacier NP,GLAC,2025,4,48576,NPS Visitor Use Statistics IRMA REST API,https://irmaservices.nps.gov/Stats/v1/visitation,2026-05-28,U.S. federal public information; verify current NPS terms before redistribution.
Glacier NP,GLAC,2025,5,238766,NPS Visitor Use Statistics IRMA REST API,https://irmaservices.nps.gov/Stats/v1/visitation,2026-05-28,U.S. federal public information; verify current NPS terms before redistribution.
Glacier NP,GLAC,2025,6,576577,NPS Visitor Use Statistics IRMA REST API,https://irmaservices.nps.gov/Stats/v1/visitation,2026-05-28,U.S. federal public information; verify current NPS terms before redistribution.
Glacier NP,GLAC,2025,7,765061,NPS Visitor Use Statistics IRMA REST API,https://irmaservices.nps.gov/Stats/v1/visitation,2026-05-28,U.S. federal public information; verify current NPS terms before redistribution.
Glacier NP,GLAC,2025,8,718766,NPS Visitor Use Statistics IRMA REST API,https://irmaservices.nps.gov/Stats/v1/visitation,2026-05-28,U.S. federal public information; verify current NPS terms before redistribution.
Glacier NP,GLAC,2025,9,552479,NPS Visitor Use Statistics IRMA REST API,https://irmaservices.nps.gov/Stats/v1/visitation,2026-05-28,U.S. federal public information; verify current NPS terms before redistribution.
Glacier NP,GLAC,2025,10,127537,NPS Visitor Use Statistics IRMA REST API,https://irmaservices.nps.gov/Stats/v1/visitation,2026-05-28,U.S. federal public information; verify current NPS terms before redistribution.
Glacier NP,GLAC,2025,11,27967,NPS Visitor Use Statistics IRMA REST API,https://irmaservices.nps.gov/Stats/v1/visitation,2026-05-28,U.S. federal public information; verify current NPS terms before redistribution.
Glacier NP,GLAC,2025,12,21733,NPS Visitor Use Statistics IRMA REST API,https://irmaservices.nps.gov/Stats/v1/visitation,2026-05-28,U.S. federal public information; verify current NPS terms before redistribution.
Grand Teton NP,GRTE,2025,1,50745,NPS Visitor Use Statistics IRMA REST API,https://irmaservices.nps.gov/Stats/v1/visitation,2026-05-28,U.S. federal public information; verify current NPS terms before redistribution.
Grand Teton NP,GRTE,2025,2,53580,NPS Visitor Use Statistics IRMA REST API,https://irmaservices.nps.gov/Stats/v1/visitation,2026-05-28,U.S. federal public information; verify current NPS terms before redistribution.
Grand Teton NP,GRTE,2025,3,64716,NPS Visitor Use Statistics IRMA REST API,https://irmaservices.nps.gov/Stats/v1/visitation,2026-05-28,U.S. federal public information; verify current NPS terms before redistribution.
Grand Teton NP,GRTE,2025,4,77629,NPS Visitor Use Statistics IRMA REST API,https://irmaservices.nps.gov/Stats/v1/visitation,2026-05-28,U.S. federal public information; verify current NPS terms before redistribution.
Grand Teton NP,GRTE,2025,5,341521,NPS Visitor Use Statistics IRMA REST API,https://irmaservices.nps.gov/Stats/v1/visitation,2026-05-28,U.S. federal public information; verify current NPS terms before redistribution.
Grand Teton NP,GRTE,2025,6,680406,NPS Visitor Use Statistics IRMA REST API,https://irmaservices.nps.gov/Stats/v1/visitation,2026-05-28,U.S. federal public information; verify current NPS terms before redistribution.
Grand Teton NP,GRTE,2025,7,787186,NPS Visitor Use Statistics IRMA REST API,https://irmaservices.nps.gov/Stats/v1/visitation,2026-05-28,U.S. federal public information; verify current NPS terms before redistribution.
Grand Teton NP,GRTE,2025,8,735593,NPS Visitor Use Statistics IRMA REST API,https://irmaservices.nps.gov/Stats/v1/visitation,2026-05-28,U.S. federal public information; verify current NPS terms before redistribution.
Grand Teton NP,GRTE,2025,9,617970,NPS Visitor Use Statistics IRMA REST API,https://irmaservices.nps.gov/Stats/v1/visitation,2026-05-28,U.S. federal public information; verify current NPS terms before redistribution.
Grand Teton NP,GRTE,2025,10,281020,NPS Visitor Use Statistics IRMA REST API,https://irmaservices.nps.gov/Stats/v1/visitation,2026-05-28,U.S. federal public information; verify current NPS terms before redistribution.
