sighting_id,park_code,gbif_id,scientific_name,common_name,taxon_rank,event_date,decimal_latitude,decimal_longitude,basis_of_record,dataset_key,recorded_by,source
GBIF-5938167994,YELL,5938167994,"Ursus americanus Pallas, 1780",,SPECIES,2026-01-03T13:53:09,44.544873,-110.511233,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,maxwellrothberg,GBIF Occurrence API
GBIF-5938242482,YELL,5938242482,"Ovis canadensis canadensis Shaw, 1804",,SUBSPECIES,2026-01-01T15:09:42,45.097672,-110.784478,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,Madison,GBIF Occurrence API
GBIF-5938423337,YELL,5938423337,"Haliaeetus leucocephalus (Linnaeus, 1766)",,SPECIES,2026-01-01T12:29:47,45.078456,-110.772537,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,Madison,GBIF Occurrence API
GBIF-5938462462,YELL,5938462462,"Bison bison bison (Linnaeus, 1758)",,SUBSPECIES,2026-01-03T10:46:08,44.606367,-110.846914,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,Sophia Regnault,GBIF Occurrence API
GBIF-5938498020,YELL,5938498020,"Canis latrans Say, 1823",,SPECIES,2026-01-03T15:31:07,44.667894,-111.008979,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,Sophia Regnault,GBIF Occurrence API
GBIF-5938507386,YELL,5938507386,"Vulpes vulpes (Linnaeus, 1758)",,SPECIES,2026-01-02T09:40:33,44.91515,-110.113655,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,Madison,GBIF Occurrence API
GBIF-5938631689,YELL,5938631689,"Canis lupus Linnaeus, 1758",,SPECIES,2026-01-03T09:20:05,44.761152,-110.896989,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,Sophia Regnault,GBIF Occurrence API
GBIF-5938662323,YELL,5938662323,"Cygnus buccinator Richardson, 1831",,SPECIES,2026-01-03T15:08:49,44.652604,-110.955562,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,Sophia Regnault,GBIF Occurrence API
GBIF-6129880914,YELL,6129880914,"Megaceryle alcyon (Linnaeus, 1758)",,SPECIES,2026-01-17T12:44,44.679133,-110.487411,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,Samsara Duffey,GBIF Occurrence API
GBIF-6130014788,YELL,6130014788,"Pica hudsonia (Sabine, 1823)",,SPECIES,2026-01-22T11:24,44.972675,-110.705147,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,Shannon DeVaney,GBIF Occurrence API
GBIF-6130024924,YELL,6130024924,"Perisoreus canadensis (Linnaeus, 1766)",,SPECIES,2026-01-20T10:21,44.549836,-110.806278,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,Shannon DeVaney,GBIF Occurrence API
GBIF-6130026464,YELL,6130026464,"Corvus corax Linnaeus, 1758",,SPECIES,2026-01-06T11:11,44.921732,-110.438504,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,Charles R. Peterson,GBIF Occurrence API
